iter	Passed	Remaining
718	10066	3682
719	10080	3668
720	10094	3654
721	10108	3640
722	10121	3625
723	10135	3611
724	10150	3598
725	10164	3584
726	10178	3570
727	10192	3556
728	10203	3541
729	10217	3527
730	10231	3513
731	10244	3498
732	10258	3484
733	10272	3470
734	10286	3456
735	10301	3443
736	10315	3429
737	10329	3415
738	10343	3401
739	10357	3387
740	10371	3373
741	10384	3358
742	10397	3344
743	10411	3330
744	10425	3316
745	10439	3302
746	10453	3288
747	10467	3274
748	10481	3260
749	10494	3246
750	10508	3232
751	10522	3218
752	10536	3204
753	10550	3190
754	10561	3175
755	10575	3161
756	10589	3147
757	10604	3133
758	10617	3119
759	10631	3105
760	10642	3090
761	10653	3075
762	10667	3061
763	10681	3047
764	10691	3032
765	10701	3017
766	10715	3003
767	10730	2989
768	10743	2975
769	10755	2961
770	10769	2947
771	10781	2932
772	10791	2917
773	10806	2903
774	10820	2890
775	10832	2875
776	10843	2860
777	10854	2846
778	10869	2832
779	10882	2818
780	10896	2804
781	10910	2790
782	10924	2776
783	10936	2761
784	10950	2748
785	10961	2733
786	10975	2719
787	10986	2704
788	11000	2690
789	11014	2676
790	11028	2662
791	11042	2649
792	11056	2635
793	11071	2621
794	11083	2607
795	11094	2592
796	11108	2578
797	11120	2564
798	11131	2549
799	11142	2534
800	11153	2520
801	11164	2505
802	11179	2492
803	11190	2477
804	11204	2463
805	11215	2449
806	11227	2434
807	11237	2420
808	11252	2406
809	11263	2391
810	11274	2377
811	11285	2362
812	11295	2348
813	11309	2334
814	11320	2319
815	11334	2305
816	11346	2291
817	11357	2276
818	11370	2263
819	11381	2248
820	11395	2234
821	11406	2220
822	11420	2206
823	11434	2192
824	11445	2178
825	11459	2164
826	11471	2150
827	11485	2136
828	11499	2122
829	11513	2108
830	11526	2094
831	11540	2080
832	11552	2066
833	11563	2052
834	11574	2037
835	11585	2023
836	11597	2009
837	11608	1994
838	11619	1980
839	11630	1966
840	11641	1951
841	11652	1937
842	11663	1923
843	11677	1909
844	11688	1895
845	11699	1880
846	11710	1866
847	11724	1852
848	11735	1838
849	11746	1824
850	11758	1810
851	11769	1795
852	11781	1781
853	11793	1767
854	11804	1753
855	11815	1739
856	11826	1724
857	11837	1710
858	11852	1697
859	11863	1682
860	11877	1669
861	11888	1654
862	11901	1641
863	11916	1627
864	11927	1613
865	11941	1599
866	11952	1585
867	11963	1571
868	11974	1557
869	11985	1542
870	11996	1528
871	12008	1514
872	12019	1500
873	12029	1486
874	12040	1472
875	12050	1458
876	12061	1444
877	12072	1429
878	12083	1415
879	12093	1401
880	12104	1387
881	12118	1373
882	12132	1360
883	12143	1346
884	12154	1332
885	12168	1318
886	12180	1304
887	12191	1290
888	12202	1276
889	12213	1262
890	12224	1248
891	12235	1234
892	12249	1220
893	12261	1206
894	12271	1192
895	12283	1178
896	12297	1165
897	12308	1151
898	12319	1137
899	12333	1123
900	12346	1109
901	12357	1095
902	12369	1082
903	12380	1068
904	12394	1054
905	12405	1040
906	12418	1026
907	12429	1012
908	12443	999
909	12456	985
910	12467	971
911	12478	957
912	12489	943
913	12500	930
914	12511	916
915	12522	902
916	12533	888
917	12545	874
918	12559	860
919	12570	847
920	12580	833
921	12591	819
922	12605	805
923	12616	791
924	12627	778
925	12641	764
926	12652	750
927	12663	736
928	12675	723
929	12686	709
930	12699	695
931	12710	681
932	12721	668
933	12732	654
934	12743	640
935	12754	626
936	12765	613
937	12776	599
938	12787	585
939	12798	571
940	12809	558
941	12820	544
942	12830	530
943	12841	516
944	12852	503
945	12863	489
946	12874	475
947	12885	462
948	12896	448
949	12908	434
950	12922	421
951	12933	407
952	12945	393
953	12956	380
954	12970	366
955	12981	353
956	12995	339
957	13006	325
958	13017	312
959	13031	298
960	13042	285
961	13053	271
962	13064	257
963	13078	244
964	13089	230
965	13100	216
966	13114	203
967	13125	189
968	13136	176
969	13147	162
970	13158	149
971	13169	135
972	13180	121
973	13192	108
974	13203	94
975	13213	81
976	13224	67
977	13235	54
978	13246	40
979	13257	27
980	13271	13
981	13282	0
